"Time","ID","Category","Group","Event","Msg. Type","Priority","Ether Type","Src. MAC","Src. Vendor","Src. Int.","Src. Zone","Dst. MAC","Dst. Vendor","Dst. Int.","Dst. Zone","Src. IP","Src. Port","Src. Name","Src.NAT IP","Src.NAT Port","In SPI","Dst. IP","Dst. Port","Dst. Name","Dst.NAT IP","Dst.NAT Port","Out SPI","IP Protocol","ICMP Type","ICMP Code","RX Bytes","TX Bytes","Access Rule","NAT Policy","User Name","Session Time","Session Type","IDP Rule","IDP Priority","HTTP OP","URL","VPN Policy","HTTP Result","Block Cat","Application","FW Action","DPI","Notes","Message","HTTP Referer"
"03/26/2025 13:50:55","83","Security Services","Attacks","Port Scan Probable","Standard Note String","Alert","2048","00:A0:26:D8:CE:CA","TELDAT, S.A.","X1","LAN","18:C2:41:96:50:99","SONICWALL","X0","WAN","216.58.209.78","443","","","","","192.168.32.199","50693","","","","","tcp","","","46","","5 (LAN->WAN)","","","","","","","","","","","","General HTTPS","NA","","Pkt is dropped. TCP scanned port list","Probable port scan detected",""
"03/26/2025 13:51:05","36","Network","TCP","TCP Packets Dropped","Standard Policy","Notice","2048","B8:AE:ED:FA:C5:71","ELITEGROUP COMPUTER SYSTEMS","X0","LAN","18:C2:41:96:50:98","SONICWALL","X1","WAN","192.168.32.230","60355","","","","","8.8.4.4","443","","","","","tcp","","","444","","5 (LAN->WAN)","","","","","","","","","","","","General HTTPS","drop","","","TCP packet dropped",""
"03/26/2025 13:51:31","1233","Firewall Settings","Multicast","Link-Local/Multicast IPv6 Packet","Standard Note Protocol","Notice","34525","08:BF:B8:12:C3:FC","Unknown","X0","LAN","33:33:00:00:00:FB","Unknown","","","fe80::1441:acb8:5be4:f239","5353","","","","","ff02::fb","5353","","","","","udp","","","78","","","","","","","","","","","","","","","drop","","","Unhandled link-local or multicast IPv6 packet dropped",""
"03/26/2025 13:51:53","1213","Firewall Settings","Flood Protection","UDP Flood Detected","Standard Note String","Alert","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA","","Attack Destination: 0.0.0.0 - 255.255.255.255, Most active attacker information: [1]192.168.32.199:52222 -> 142.250.201.65:443 (1814 pkts)  [2]192.168.32.11:57718 -> 142.250.200.138:443 (1342 pkts)  [3]192.168.32.11:62283 -> 142.250.200.106:443 (1323 pkt","Possible UDP flood attack detected",""
"03/26/2025 13:52:05","36","Network","TCP","TCP Packets Dropped","Standard Policy","Notice","2048","70:B5:E8:96:D2:E0","DELL","X0","LAN","18:C2:41:96:50:98","SONICWALL","X1","WAN","192.168.32.199","61130","","","","","18.67.240.127","443","","","","","tcp","","","391","","5 (LAN->WAN)","","","","","","","","","","","","General HTTPS","drop","","","TCP packet dropped",""
"03/26/2025 13:52:23","1110","Network","DHCP Server","Assigned IP Address","Simple Message String","Information","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA","","","Assigned IP address 192.168.132.61 to MAC address E8:96:06:01:D6:1A",""
"03/26/2025 13:52:31","1233","Firewall Settings","Multicast","Link-Local/Multicast IPv6 Packet","Standard Note Protocol","Notice","34525","08:BF:B8:12:C3:FC","Unknown","X0","LAN","33:33:00:00:00:FB","Unknown","","","fe80::1441:acb8:5be4:f239","5353","","","","","ff02::fb","5353","","","","","udp","","","78","","","","","","","","","","","","","","","drop","","","Unhandled link-local or multicast IPv6 packet dropped",""
"03/26/2025 13:53:09","36","Network","TCP","TCP Packets Dropped","Standard Policy","Notice","2048","00:A0:26:D8:CE:CA","TELDAT, S.A.","X1","WAN","18:C2:41:96:50:99","SONICWALL","X1","WAN","48.217.152.85","53201","","","","","217.124.116.61","9030","","","","","tcp","","","46","","","","","","","","","","","","","","General TCP","drop","","TCP Flag(s): SYN","TCP packet dropped",""
"03/26/2025 13:53:27","608","Security Services","IPS","IPS Detection Alert","Standard IDP Message String","Alert","","","","X1","","","","X0","","151.101.134.172","8","","","","","192.168.32.8","1","","","","","","","","","","","","","","","352","3","","","","","","","NA","","","IPS Detection Alert: ICMP Time-To-Live Exceeded in Transit, SID: 352, Priority: Low",""
"03/26/2025 13:53:31","1233","Firewall Settings","Multicast","Link-Local/Multicast IPv6 Packet","Standard Note Protocol","Notice","34525","54:B2:03:8B:9E:BA","PEGATRON CORPORATION","X0","LAN","33:33:00:00:00:FB","Unknown","","","fe80::67ba:e868:3bef:c9af","5353","","","","","ff02::fb","5353","","","","","udp","","","91","","","","","","","","","","","","","","","drop","","","Unhandled link-local or multicast IPv6 packet dropped",""
