Time,ID,Category,Group,Event,Msg. Type,Priority,Ether Type,Src. MAC,Src. Vendor,Src. Int.,Src. Zone,Dst. MAC,Dst. Vendor,Dst. Int.,Dst. Zone,Src. IP,Src. Port,Src. Name,Src.NAT IP,Src.NAT Port,In SPI,Dst. IP,Dst. Port,Dst. Name,Dst.NAT IP,Dst.NAT Port,Out SPI,IP Protocol,ICMP Type,ICMP Code,RX Bytes,TX Bytes,Access Rule,NAT Policy,User Name,Session Time,Session Type,IDP Rule,IDP Priority,HTTP OP,URL,VPN Policy,HTTP Result,Block Cat,Application,FW Action,DPI,Notes,Message,HTTP Referer,IP,AbuseScore,Country,ISP,Domain,TotalReports,LastReportedAt
03/26/2025 13:55:11,36,Network,TCP,TCP Packets Dropped,Standard Policy,Notice,2048.0,00:A0:26:D8:CE:CA,"TELDAT, S.A.",X1,WAN,18:C2:41:96:50:99,SONICWALL,X1,WAN,185.91.127.81,42149.0,,,,,217.124.116.61,8080.0,,,,,tcp,,,46.0,,,,,,,,,,,,,,Service Tivo TCP Data,drop,,TCP Flag(s): SYN,TCP packet dropped,,185.91.127.81,100,Germany,Ferdinand Zink trading as Tube-Hosting,tube-hosting.com,24063,2025-05-05T15:50:55+00:00
03/26/2025 13:57:57,1226,Network,Network Access,HTTPS Handshake,Standard Message String,Information,,,,X1,,,,X1,,162.62.132.25,39894.0,,,,,217.124.116.61,4443.0,,,,,tcp,,,,,,,,,,,,,,,,,,,,,HTTPS Handshake: http request,,162.62.132.25,100,Germany,"Tencent Building, Kejizhongyi Avenue",tencent.com,336,2025-05-05T15:27:17+00:00
03/26/2025 13:57:57,1684,Network,Network Access,SSL Error,Standard Message String,Information,,,,X1,,,,X1,,162.62.132.25,39894.0,,,,,217.124.116.61,4443.0,,,,,tcp,,,,,,,,,,,,,,,,,,,,Error1 L=20 F=143 R=156 ssl3_get_record,SSL Error : http request,,162.62.132.25,100,Germany,"Tencent Building, Kejizhongyi Avenue",tencent.com,336,2025-05-05T15:27:17+00:00
03/26/2025 14:05:33,36,Network,TCP,TCP Packets Dropped,Standard Policy,Notice,2048.0,00:A0:26:D8:CE:CA,"TELDAT, S.A.",X1,WAN,18:C2:41:96:50:99,SONICWALL,X1,WAN,193.163.125.214,41979.0,,,,,217.124.116.61,10055.0,,,,,tcp,,,46.0,,,,,,,,,,,,,,General TCP,drop,,TCP Flag(s): SYN,TCP packet dropped,,193.163.125.214,100,United Kingdom of Great Britain and Northern Ireland,Driftnet Ltd,driftnet.io,4834,2025-05-05T15:03:16+00:00
03/26/2025 14:06:33,36,Network,TCP,TCP Packets Dropped,Standard Policy,Notice,2048.0,00:A0:26:D8:CE:CA,"TELDAT, S.A.",X1,WAN,18:C2:41:96:50:99,SONICWALL,X1,WAN,103.102.230.4,59048.0,,,,,217.124.116.61,8728.0,,,,,tcp,,,46.0,,,,,,,,,,,,,,General TCP,drop,,TCP Flag(s): SYN,TCP packet dropped,,103.102.230.4,100,Canada,Skoali,skoali.com,24045,2025-05-05T15:52:18+00:00
03/26/2025 14:07:36,36,Network,TCP,TCP Packets Dropped,Standard Policy,Notice,2048.0,00:A0:26:D8:CE:CA,"TELDAT, S.A.",X1,WAN,18:C2:41:96:50:99,SONICWALL,X1,WAN,104.140.148.74,53900.0,,,,,217.124.116.61,3312.0,,,,,tcp,,,46.0,,,,,,,,,,,,,,Service RPC Services,drop,,TCP Flag(s): SYN,TCP packet dropped,,104.140.148.74,100,United States of America,Eonix Corporation,eonix.net,249,2025-04-25T17:17:49+00:00
03/26/2025 14:08:38,36,Network,TCP,TCP Packets Dropped,Standard Policy,Notice,2048.0,00:A0:26:D8:CE:CA,"TELDAT, S.A.",X1,WAN,18:C2:41:96:50:99,SONICWALL,X1,WAN,68.183.13.202,45596.0,,,,,217.124.116.61,143.0,,,,,tcp,,,52.0,,,,,,,,,,,,,,Service IMAP4,drop,,TCP Flag(s): SYN,TCP packet dropped,,68.183.13.202,100,Netherlands,"DigitalOcean, LLC",digitalocean.com,992,2025-05-05T03:09:11+00:00
03/26/2025 14:11:45,36,Network,TCP,TCP Packets Dropped,Standard Policy,Notice,2048.0,00:A0:26:D8:CE:CA,"TELDAT, S.A.",X1,WAN,18:C2:41:96:50:99,SONICWALL,X1,WAN,100.29.192.82,49193.0,,,,,217.124.116.61,5001.0,,,,,tcp,,,46.0,,,,,,,,,,,,,,General TCP,drop,,TCP Flag(s): SYN,TCP packet dropped,,100.29.192.82,100,United States of America,Amazon Data Services NoVa,amazon.com,1171,2025-05-05T00:02:41+00:00
03/26/2025 14:13:47,36,Network,TCP,TCP Packets Dropped,Standard Policy,Notice,2048.0,00:A0:26:D8:CE:CA,"TELDAT, S.A.",X1,WAN,18:C2:41:96:50:99,SONICWALL,X1,WAN,184.105.247.238,56761.0,,,,,217.124.116.61,9642.0,,,,,tcp,,,46.0,,,,,,,,,,,,,,General TCP,drop,,TCP Flag(s): SYN,TCP packet dropped,,184.105.247.238,100,United States of America,"The Shadowserver Foundation, Inc.",shadowserver.org,7845,2025-05-05T15:50:58+00:00
03/26/2025 14:21:09,36,Network,TCP,TCP Packets Dropped,Standard Policy,Notice,2048.0,00:A0:26:D8:CE:CA,"TELDAT, S.A.",X1,WAN,18:C2:41:96:50:99,SONICWALL,X1,WAN,185.91.127.81,44035.0,,,,,217.124.116.61,3128.0,,,,,tcp,,,46.0,,,,,,,,,,,,,,Service Squid,drop,,TCP Flag(s): SYN,TCP packet dropped,,185.91.127.81,100,Germany,Ferdinand Zink trading as Tube-Hosting,tube-hosting.com,24063,2025-05-05T15:50:55+00:00
